"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,0.6,-1,1,4,2,9,3,38296,405344673,38296,405344786,38296,405050139,38296,574767996
256,500,375,-2,0.6,-1,1,4,2,9,4,38296,405349691,38296,405349806,38296,405050139,38296,574767996
256,500,375,-2,0.6,-1,1,4,2,10,1,38296,663615678,38296,832545945,38296,663421906,38296,832633624
256,500,375,-2,0.6,-1,1,4,2,10,2,38296,663651486,38296,663651599,38296,663421906,38296,832633624
256,500,375,-2,0.6,-1,1,4,2,10,3,38296,663652807,38296,663652977,38296,663421906,38296,832633624
256,500,375,-2,0.6,-1,1,4,2,10,4,38296,663685061,38296,663685206,38296,663421906,38296,832633624
256,500,375,-2,0.6,-1,1,5,0,1,1,38296,933052246,38296,945759276,38296,932713221,38297,788740
256,500,375,-2,0.6,-1,1,5,0,1,2,38296,933051913,38296,978858976,38296,932713221,38297,788740
256,500,375,-2,0.6,-1,1,5,0,1,3,38296,933082253,38297,683181,38296,932713221,38297,788740
256,500,375,-2,0.6,-1,1,5,0,1,4,38296,933011394,38296,979723634,38296,932713221,38297,788740
256,500,375,-2,0.6,-1,1,5,0,1,5,38296,933082421,38296,946952828,38296,932713221,38297,788740
256,500,375,-2,0.6,-1,1,5,0,2,1,38297,94287716,38297,106903588,38297,93791011,38297,160938412
256,500,375,-2,0.6,-1,1,5,0,2,2,38297,94214897,38297,138965155,38297,93791011,38297,160938412
256,500,375,-2,0.6,-1,1,5,0,2,3,38297,94286938,38297,160841263,38297,93791011,38297,160938412
256,500,375,-2,0.6,-1,1,5,0,2,4,38297,94289260,38297,139871916,38297,93791011,38297,160938412
256,500,375,-2,0.6,-1,1,5,0,2,5,38297,94285246,38297,107581720,38297,93791011,38297,160938412
256,500,375,-2,0.6,-1,1,5,0,3,1,38297,256102528,38297,270719883,38297,255807183,38297,328614931
256,500,375,-2,0.6,-1,1,5,0,3,2,38297,260076065,38297,302694007,38297,255807183,38297,328614931
256,500,375,-2,0.6,-1,1,5,0,3,3,38297,260018986,38297,328525317,38297,255807183,38297,328614931
256,500,375,-2,0.6,-1,1,5,0,3,4,38297,256136911,38297,303592747,38297,255807183,38297,328614931
256,500,375,-2,0.6,-1,1,5,0,3,5,38297,256103539,38297,269011948,38297,255807183,38297,328614931
256,500,375,-2,0.6,-1,1,5,0,4,1,38297,422037032,38297,433331836,38297,421731149,38297,487374113
256,500,375,-2,0.6,-1,1,5,0,4,2,38297,422119250,38297,465498354,38297,421731149,38297,487374113
256,500,375,-2,0.6,-1,1,5,0,4,3,38297,422086858,38297,487274866,38297,421731149,38297,487374113
256,500,375,-2,0.6,-1,1,5,0,4,4,38297,422085114,38297,466346118,38297,421731149,38297,487374113
256,500,375,-2,0.6,-1,1,5,0,4,5,38297,422118757,38297,434045787,38297,421731149,38297,487374113
256,500,375,-2,0.6,-1,1,5,0,5,1,38297,583762248,38297,597825654,38297,583440269,38297,651854295
256,500,375,-2,0.6,-1,1,5,0,5,2,38297,583722646,38297,629967529,38297,583440269,38297,651854295
256,500,375,-2,0.6,-1,1,5,0,5,3,38297,583757643,38297,651751094,38297,583440269,38297,651854295
256,500,375,-2,0.6,-1,1,5,0,5,4,38297,583689011,38297,630737112,38297,583440269,38297,651854295
256,500,375,-2,0.6,-1,1,5,0,5,5,38297,583756757,38297,598495240,38297,583440269,38297,651854295
256,500,375,-2,0.6,-1,1,5,0,6,1,38297,741822629,38297,755629777,38297,741485669,38297,809871192
256,500,375,-2,0.6,-1,1,5,0,6,2,38297,741827462,38297,787983569,38297,741485669,38297,809871192
256,500,375,-2,0.6,-1,1,5,0,6,3,38297,741790938,38297,809769656,38297,741485669,38297,809871192
256,500,375,-2,0.6,-1,1,5,0,6,4,38297,741753437,38297,788797279,38297,741485669,38297,809871192
256,500,375,-2,0.6,-1,1,5,0,6,5,38297,741790778,38297,756545372,38297,741485669,38297,809871192
256,500,375,-2,0.6,-1,1,5,0,7,1,38297,899252117,38297,911825398,38297,898943437,38297,965905650
256,500,375,-2,0.6,-1,1,5,0,7,2,38297,899290832,38297,943942105,38297,898943437,38297,965905650
256,500,375,-2,0.6,-1,1,5,0,7,3,38297,899286130,38297,965804161,38297,898943437,38297,965905650
256,500,375,-2,0.6,-1,1,5,0,7,4,38297,899196520,38297,944722559,38297,898943437,38297,965905650
